Year,Pesticide Type,Usage
2008,Fungicides and Bactericides,601.48
2009,Fungicides and Bactericides,711.48
2010,Fungicides and Bactericides,672.61
2011,Fungicides and Bactericides,674.52
2012,Fungicides and Bactericides,552.94
2013,Fungicides and Bactericides,465.68
2014,Fungicides and Bactericides,478.13
2015,Fungicides and Bactericides,503.26
2016,Fungicides and Bactericides,524.85
2017,Fungicides and Bactericides,898.02
2018,Fungicides and Bactericides,1456.51
2019,Fungicides and Bactericides,1910.55
2020,Fungicides and Bactericides,1886.9
2021,Fungicides and Bactericides,1689.93
2022,Fungicides and Bactericides,1590.51
1990,Fungicides and Bactericides,2.22
1991,Fungicides and Bactericides,2.22
1992,Fungicides and Bactericides,2.22
1993,Fungicides and Bactericides,4.28
1994,Fungicides and Bactericides,8.4
1995,Fungicides and Bactericides,11.79
1996,Fungicides and Bactericides,11.71
1997,Fungicides and Bactericides,9.63
1998,Fungicides and Bactericides,8.33
1999,Fungicides and Bactericides,8.5
2000,Fungicides and Bactericides,8.68
2001,Fungicides and Bactericides,8.85
2002,Fungicides and Bactericides,9.02
2003,Fungicides and Bactericides,9.2
2004,Fungicides and Bactericides,9.37
2005,Fungicides and Bactericides,6.76
2006,Fungicides and Bactericides,4.65
2007,Fungicides and Bactericides,4.93
2008,Fungicides and Bactericides,8.53
2009,Fungicides and Bactericides,9.73
2010,Fungicides and Bactericides,8.65
2011,Fungicides and Bactericides,8.74
2012,Fungicides and Bactericides,13.18
2013,Fungicides and Bactericides,18.94
2014,Fungicides and Bactericides,26.5
2015,Fungicides and Bactericides,32.99
2016,Fungicides and Bactericides,29.15
2017,Fungicides and Bactericides,20.78
2018,Fungicides and Bactericides,11.23
2019,Fungicides and Bactericides,8.56
2020,Fungicides and Bactericides,6.86
2021,Fungicides and Bactericides,6.14
2022,Fungicides and Bactericides,5.61
1990,Fungicides and Bactericides,1.07
1991,Fungicides and Bactericides,1.76
1992,Fungicides and Bactericides,2.4
1993,Fungicides and Bactericides,1.4
1994,Fungicides and Bactericides,0.21
1995,Fungicides and Bactericides,0.12
1996,Fungicides and Bactericides,0.18
1997,Fungicides and Bactericides,0.39
1998,Fungicides and Bactericides,0.26
1999,Fungicides and Bactericides,0.27
2000,Fungicides and Bactericides,0.75
2001,Fungicides and Bactericides,0.89
2002,Fungicides and Bactericides,1.03
2003,Fungicides and Bactericides,1.16
2004,Fungicides and Bactericides,1.72
2005,Fungicides and Bactericides,1.51
2006,Fungicides and Bactericides,1.45
2007,Fungicides and Bactericides,2.46
2008,Fungicides and Bactericides,1.62
2009,Fungicides and Bactericides,1.56
2010,Fungicides and Bactericides,2.04
2011,Fungicides and Bactericides,3.42
2012,Fungicides and Bactericides,2.88
2013,Fungicides and Bactericides,1.92
2014,Fungicides and Bactericides,0.97
2015,Fungicides and Bactericides,1.3
2016,Fungicides and Bactericides,1.59
2017,Fungicides and Bactericides,3.02
2018,Fungicides and Bactericides,2.98
2019,Fungicides and Bactericides,3.63
2020,Fungicides and Bactericides,0.06
2021,Fungicides and Bactericides,5.29
2022,Fungicides and Bactericides,5.39
1990,Fungicides and Bactericides,1527.6
